title,description,content,publishedAt,url,image,source_name
AI Supply Chain Could Face a Massive Disruption As Demand For TSMC's CoWoS Packaging Reaches To Unusual Levels,"The advanced packaging segment might witness massive production slowdowns, as a key Japanese supplier is reportedly cutting production.","TSMC's CoWoS and other advanced packaging solutions might witness massive production slowdowns, as a key Japanese supplier is cutting production of a vital essential.
TSMC's CoWoS & Other Advanced Packaging Solutions Could See a Disruption In Product... [2035 chars]",2025-05-27T18:13:18Z,https://wccftech.com/ai-supply-chain-could-face-disruption-as-demand-for-tsmc-cowos-reaches-to-unusual-levels/,https://cdn.wccftech.com/wp-content/uploads/2025/05/tsmc-1.jpg,Wccftech
West Midlands Railway major disruption as firm 'can't get parts to keep trains on tracks',The rail firm said not all its diesel trains would operate amid 'supply-chain issues',"West Midlands Railway major disruption as firm 'can't get parts to keep trains on tracks'
The rail firm said not all its diesel trains would operate amid 'supply-chain issues'
A West Midlands Railway service (Image: Coventry Live/Tristan Potter )
A r... [2522 chars]",2025-03-15T04:52:00Z,https://www.birminghammail.co.uk/news/midlands-news/west-midlands-railway-major-disruption-31196363,https://i2-prod.birminghammail.co.uk/article30127728.ece/ALTERNATES/s1200/1_West-Midlands-Railway.jpg,Birmingham Live
Shipping giant Maersk sees another year of disruption for global trade,"From Trump tariffs on China and Mexico to the threat of a U.S. ports strike, the supply chain expects another year of disruption, but also strong demand.","But Van der Steene said shipping companies expect the volatility that has pervaded global trade since Covid to be back in 2025. ""Disruption will also be with us,"" he said. ""The topic of resilience within the supply chain will continue to be, and shou... [7218 chars]",2024-12-13T14:39:26Z,https://www.cnbc.com/2024/12/13/shipping-giant-maersk-sees-another-year-of-disruption-for-global-trade.html,https://image.cnbcfm.com/api/v1/image/108068062-1732621360541-gettyimages-2183365865-cfoto-worldsfi241110_npKu5.jpeg?v=1732621461&w=1920&h=1080,CNBC
"Closure of Holyhead port has caused 'considerable disruption' to supply chain, exporters say",The port has been closed to marine traffic since the weekend when its infrastructure was damaged during Storm Darragh.,"THE FREIGHT AND shipping industry is calling for Holyhead Port to reopen for ferries as soon as possible afters days of closure due to damage sustained during Storm Darragh.
The port has been closed to marine traffic since the weekend when its infras... [4029 chars]",2024-12-12T11:30:24Z,https://www.thejournal.ie/holyhead-port-urged-to-re-open-quickly-to-tackle-pre-christmas-backlog-after-storm-forced-closure-6569945-Dec2024/,https://img2.thejournal.ie/article/6569945/river/?height=400&version=6570010,TheJournal.ie
"Sitharaman Highlights Inflation, Supply Woes","Finance Minister Sitharaman emphasised inflation, supply chain disruption, and strategic realignment at CII Forum 2024 in New Delhi","New Delhi: Union finance minister Nirmala Sitharaman on Wednesday said that unabated inflation, unsustainable debt, disruption of supply chains, and lack of food security are among the top challenges where the industry and the government need to work... [1863 chars]",2024-12-11T12:10:00Z,https://www.deccanchronicle.com/business/sitharaman-highlights-inflation-supply-woes-1845962,https://www.deccanchronicle.com/h-upload/2024/12/11/1871462-untitleddesign.jpg,Deccan Chronicle
Retail outages drag into second week after Blue Yonder ransomware attack,"A ransomware attack on supply chain software giant Blue Yonder continues to cause disruption to the company’s customers, almost two weeks after the outage","In Brief
A ransomware attack on supply chain software giant Blue Yonder continues to cause disruption to the company’s customers, almost two weeks after the outage first began.
In a brief update to its cybersecurity incident page on Sunday, Arizona-b... [715 chars]",2024-12-02T12:38:39Z,https://techcrunch.com/2024/12/02/retail-outages-drag-into-second-week-after-blue-yonder-ransomware-attack/,"https://techcrunch.com/wp-content/uploads/2021/12/ransomware-moshed.jpg?resize=1200,675",TechCrunch
UK to 'war-game' how frontline British troops could be equipped with weapons amid supply chain disruption,Defence Secretary John Healey will outline the first defence industrial strategy since Russia invaded Ukraine in 2022.,"The UK will ""war-game"" how British troops could be sustained on the frontline in the event of intense fighting and supply chain disruption.
In the first defence industrial strategy since Russia invaded Ukraine in 2022, the government will set out mea... [3024 chars]",2024-12-02T00:00:00Z,https://news.sky.com/story/uk-to-war-game-how-frontline-british-troops-could-be-equipped-with-weapons-amid-supply-chain-disruption-13265066,https://e3.365dm.com/24/11/1600x900/skynews-military-army-chinook-helicopter_6752865.jpg?20241120135930,Sky News
"Supply chain disruption caused by Woolworths warehouse strike leading to staff abuse, union says","Unions say the supermarket giant was warned of the consequences of a battle with its warehouse workers and that ""now is the time"" to improve their conditions.","Woolworths supermarket staff are copping abuse from shoppers amid a supply shortage caused by industrial action at distribution centres, a union says.
The Shop, Distributive and Allied Employees' Association (SDA) said its members had reported a conc... [2447 chars]",2024-11-28T03:37:53Z,https://www.abc.net.au/news/2024-11-28/woolworths-staff-abused-as-strike-causes-stock-shortage/104657606,https://live-production.wcms.abc-cdn.net.au/e0c7e28c795e11e2a57df31304be51db?impolicy=wcms_watermark_news&cropH=576&cropW=1024&xPos=0&yPos=0&width=862&height=485&imformat=generic,ABC News
"UK, US retail giants hit by ongoing disruption after ransomware attack on supply chain firm","The Arizona-based firm said it has ""no timeline"" for restoration, following a cyberattack that caused disruption at companies around the world.","A ransomware attack on Blue Yonder, one of the world’s largest supply chain software providers, is causing ongoing disruption to operations at a number of major U.S. and U.K. stores and retailers.
Arizona-based Blue Yonder, which was acquired by Pana... [2122 chars]",2024-11-26T14:00:05Z,https://techcrunch.com/2024/11/26/major-uk-us-stores-face-ongoing-disruption-after-ransomware-attack-hits-supply-chain-giant-blue-yonder/,"https://techcrunch.com/wp-content/uploads/2024/11/morrisons-blue-yonder-cyberattack-ransomware.jpg?resize=1200,800",TechCrunch
"Medical equipment makers call for more domestic production, tariffs",The American Medical Manufacturers Association is advocating for tax incentives and tariffs to encourage more U.S. medical equipment production amid concerns over supply chain disruption following recent hurricanes and ongoing competition with foreign trade partners.,"An alliance of medical manufacturers is advocating for tax incentives, tariffs, and enforcement of labor and environmental standards to encourage more U.S. medical equipment production amid concerns over supply chain disruption following recent hurri... [8325 chars]",2024-11-04T15:52:11Z,https://www.freightwaves.com/news/medical-equipment-makers-call-for-more-domestic-production-tariffs,https://www.freightwaves.com/uploads/2024/11/04/FW_082620_Laura_Hurricane_Day_2-103.jpg,FreightWaves
Promising Penny Stocks To Follow Now – July 12th,"Above Food Ingredients, Future FinTech Group, and TeraWulf are the three Penny stocks to watch today, according to MarketBeat’s stock screener tool. Penny stocks are shares of very small companies that trade at low prices—typically under $5 per share—and often on over-the-counter markets rather than major exchanges. Because they have low market capitalization and thin [...]",ONLY AVAILABLE IN PAID PLANS,2025-07-15 11:41:09,,https://www.marketbeat.com/logos/above-food-ingredients-inc-logo-1200x675.jpg?v=20250428115245,themarketsdaily
"Milk Thistle Products Market Set to Soar to USD 3.81 Billion by 2034, Achieving Robust 8.88 Percent CAGR","The global market for milk thistle products-primarily driven by the demand for silymarin-rich supplements-is on track to nearly double, climbing from approximately USD 1.63 billion in 2024 to a forecasted USD 3.81 billion by 2034. This impressive expansion, fueled by",ONLY AVAILABLE IN PAID PLANS,2025-07-15 11:35:47,,https://cdn.open-pr.com/L/7/L715624190_g.jpg,openpr
"Subsea Cable Installation Equipment Market Outlook Report 2025-2034 Technological Advancements Propel Efficiency, AI And Dynamic Systems Lead The Way","(MENAFN - GlobeNewsWire - Nasdaq) The global Subsea Cable Installation Equipment Market is valued at USD 4.1 billion in 2024, projected to reach USD 6.5 billion by 2032, with a CAGR of 5.83%. Key ...",ONLY AVAILABLE IN PAID PLANS,2025-07-15 11:31:52,,,menafn
"Asbestos Packing With PTFE Impregnation Outlook Report 2025 Market To Surpass $325 Million By 2032 - Safer, High-Performance Non-Asbestos Packings On The Rise","(MENAFN - GlobeNewsWire - Nasdaq) The global Asbestos Packing with PTFE Impregnation Market, valued at USD 210.5 million in 2024, is projected to reach USD 325.8 million by 2032, with a CAGR of ...",ONLY AVAILABLE IN PAID PLANS,2025-07-15 11:31:51,,,menafn
Private sector proposals approved as govt. urges faster currency allocation for livestock imports,"TEHRAN - At its 130th session, Iran’s Government-Private Sector Dialogue Council reviewed the state of livestock and poultry feed imports, calling for faster foreign currency allocation to ease supply chain disruptions amid wartime conditions.",ONLY AVAILABLE IN PAID PLANS,2025-07-15 11:31:36,,https://media.tehrantimes.com/d/t/2025/07/15/4/5601158.jpg?ts=1752579061862,tehrantimes
"Non-Stick Cookware Coating (PTFE, Ceramic, Anodized Aluminum) Market Outlook 2025-2034 Shift Towards Ceramic And Titanium Coatings Drives Non-Toxic Cookware Demand","(MENAFN - GlobeNewsWire - Nasdaq) The global Non-Stick Cookware Coating Market is set to grow from USD 5.4 billion in 2024 to USD 7.9 billion by 2032, at a CAGR of 4.95%. Demand for safer, durable ...",ONLY AVAILABLE IN PAID PLANS,2025-07-15 11:31:19,,,menafn
"Europe Sodium Perborate Market Size, Growth Factors, Historical Analysis and Industry Segments Forecast - 2032","Introduction:The Sodium Perborate market is experiencing substantial growth, fueled by its versatile applications across diverse industries. This growth is primarily driven by the increasing demand for eco-friendly and effective bleaching agents, particularly in detergents and cleaning products. Technological advancements in",ONLY AVAILABLE IN PAID PLANS,2025-07-15 11:30:45,,https://cdn.open-pr.com/L/7/L715586537_g.jpg,openpr
India Signs 5-Year DAP Fertiliser Deal with Saudi Arabia Amid Chinese Export Restrictions,"India Signs 5-Year DAP Fertiliser Deal with Saudi Arabia Amid Chinese Export Restrictions New Delhi, Jul 15 (KNN) India has secured a major deal with Saudi Arabia’s Ma'aden, ensuring a steady supply of DAP (di-ammonium phosphate) fertilisers for the next five years. This move comes as China continues to limit its fertiliser exports, impacting global supply chains.Under the agreement, Indian public sector companies like Indian Potash Ltd (IPL), Coromandel International, and Paradeep Phosphates will receive a guaranteed supply of DAP and other key fertilisers from Ma’aden. While the exact volume hasn’t been disclosed, the Ministry of Chemicals and Fertilisers stated that the deal provides long-term price stability and supply assurance, which is crucial for Indian farmers.DAP is the second-most used fertiliser in India after urea and plays a key role in enhancing crop yields. India currently imports over 60% of its DAP needs, with China and Saudi Arabia among the top suppliers. However, due to China’s ongoing export restrictions, prices have been volatile, prompting India to diversify and secure stable sources.This partnership is part of India’s broader strategy to boost fertiliser security by forming long-term agreements and joint ventures abroad. It also aligns with the government’s vision to reduce dependency on any single country and ensure uninterrupted supply during global disruptions.The deal also supports the government's focus on reducing the subsidy burden by stabilising import prices. In the fiscal year 2022-23, India spent a record Rs 2.55 lakh crore on fertiliser subsidies.By strengthening ties with Saudi Arabia, India is working toward long-term food security and agricultural stability, ensuring that farmers have timely and affordable access to essential nutrients.(KNN Bureau)",ONLY AVAILABLE IN PAID PLANS,2025-07-15 11:30:39,,https://knnindia.co.in/uploads/newsfiles/DAP-15-7-2025.jpg,knnindia
